,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
3109348,1031184426393395200,69558002,negative,remain,2018-08-19T14:21:40.000Z,"@StandUp4Brexit #Brexit voted 4?The one that blames EU for UK GOV austerity, inequalities due 2 lack of investment by GOV, the lie about 350m,#racist anti #migrant lies, or the one who thought empire days were good old days? Delusional, arrogant, #fascist? #BrexitMeansTrump #FBPE #StandUp2Brexit","['brexit', 'fascist?', 'brexitmeanstrump', 'standup2brexit', 'migrant', 'fbpe']"
3109347,1031184426393395200,69558002,negative,remain,2018-08-19T14:21:40.000Z,"@StandUp4Brexit #Brexit voted 4?The one that blames EU for UK GOV austerity, inequalities due 2 lack of investment by GOV, the lie about 350m,#racist anti #migrant lies, or the one who thought empire days were good old days? Delusional, arrogant, #fascist? #BrexitMeansTrump #FBPE #StandUp2Brexit","['brexit', 'fascist?', 'brexitmeanstrump', 'standup2brexit', 'migrant', 'fbpe']"
3264506,1032901958229798912,76777287,positive,other,2018-08-24T08:06:31.000Z,Why I want to change my vote #Brexit #StandUp2Brexit #brexitshambles #remainernow #PeoplesVote #NoDealBrexit #LeaveMeansLeave https://t.co/klk3WeKmlz,"['brexit', 'nodealbrexit', 'leavemeansleave', 'standup2brexit', 'remainernow', 'peoplesvote', 'brexitshambles']"
3264505,1032901958229798912,76777287,positive,other,2018-08-24T08:06:31.000Z,Why I want to change my vote #Brexit #StandUp2Brexit #brexitshambles #remainernow #PeoplesVote #NoDealBrexit #LeaveMeansLeave https://t.co/klk3WeKmlz,"['brexit', 'nodealbrexit', 'leavemeansleave', 'standup2brexit', 'remainernow', 'peoplesvote', 'brexitshambles']"
3013977,1029785335201492992,22001436,negative,other,2018-08-15T17:42:11.000Z,@SteveBakerHW @StandUp4Brexit The majority of us think #brexit is the most ridiculous and dangerous idea to ever be given credence in this country. The majority now want to #StandUp2Brexit. It’s over.,"['brexit', 'standup2brexit']"
3153425,1031793580174651392,141141836,negative,remain,2018-08-21T06:42:13.000Z,@RCorbettMEP Jacob Rees-Mogg's dirty little secret is that there is no such thing as clean #Brexit - the WTO option will be an economic bloodbath. #StandUp2Brexit https://t.co/sJ3WgGrV96,"['brexit', 'standup2brexit']"
3153424,1031793580174651392,141141836,negative,remain,2018-08-21T06:42:13.000Z,@RCorbettMEP Jacob Rees-Mogg's dirty little secret is that there is no such thing as clean #Brexit - the WTO option will be an economic bloodbath. #StandUp2Brexit https://t.co/sJ3WgGrV96,"['brexit', 'standup2brexit']"
2973236,1029089176300531712,734452847497117696,neutral,other,2018-08-13T19:35:53.000Z,"@RobWmarley @Femi_Sorry Here, ammunition against knob-heads because if it isn't on the BBC or in the Sun, it didn't happen.

1,000 Japanese firms issues ominous warning to Theresa May's Government, saying 'no-deal' #Brexit would be 'impossible for us to accept'

#StandUp2Brexit 

https://t.co/Ep2bbIw9uh","['brexit', 'standup2brexit']"
2973235,1029089176300531712,734452847497117696,neutral,other,2018-08-13T19:35:53.000Z,"@RobWmarley @Femi_Sorry Here, ammunition against knob-heads because if it isn't on the BBC or in the Sun, it didn't happen.

1,000 Japanese firms issues ominous warning to Theresa May's Government, saying 'no-deal' #Brexit would be 'impossible for us to accept'

#StandUp2Brexit 

https://t.co/Ep2bbIw9uh","['brexit', 'standup2brexit']"
3390019,1034562817343545344,84151450,neutral,leave,2018-08-28T22:06:11.000Z,"@TGRWorzel @VxSpook @MattLimbImages We are not governed by them, EU Parliament votes have gone the way of the UK vote in over 95% of cases.
We govern with them.
We are rule makers, #Brexit will make us rule takers from the EU &amp; the unelected WTO
#StandUp2Brexit","['brexit', 'standup2brexit']"
2971295,1029062712788234240,19227069,positive,remain,2018-08-13T17:50:44.000Z,"@andreajenkyns ""The liberal elite""? 
Is that supposed to be an insult? 
""Sneered at""? You mean those reams of rationale why #Brexit will impoverish all of us? 
https://t.co/FoDvABR4fr - ""Sneering""? 
https://t.co/nDgFH1Dril - ""Sneering""? 
If you ""loved your country"" you would #StandUp2Brexit.","['brexit', 'standup2brexit']"
3390020,1034562817343545344,84151450,neutral,leave,2018-08-28T22:06:11.000Z,"@TGRWorzel @VxSpook @MattLimbImages We are not governed by them, EU Parliament votes have gone the way of the UK vote in over 95% of cases.
We govern with them.
We are rule makers, #Brexit will make us rule takers from the EU &amp; the unelected WTO
#StandUp2Brexit","['brexit', 'standup2brexit']"
3534340,1036612538501345280,1029273979561947136,positive,other,2018-09-03T13:51:03.000Z,"@sarahwollaston @millstepUK I LOVE that women are taking the lead in exposing the stupidity that is #Brexit and standing up to save our great country. Thank you for your honesty, your courage and your dedication, Dr Wollaston. Good luck to us all as we take the bull by the horns and #StandUp2Brexit! https://t.co/oLEBh022Hg","['brexit', 'standup2brexit']"
2971296,1029062712788234240,19227069,positive,remain,2018-08-13T17:50:44.000Z,"@andreajenkyns ""The liberal elite""? 
Is that supposed to be an insult? 
""Sneered at""? You mean those reams of rationale why #Brexit will impoverish all of us? 
https://t.co/FoDvABR4fr - ""Sneering""? 
https://t.co/nDgFH1Dril - ""Sneering""? 
If you ""loved your country"" you would #StandUp2Brexit.","['brexit', 'standup2brexit']"
3013976,1029785335201492992,22001436,negative,other,2018-08-15T17:42:11.000Z,@SteveBakerHW @StandUp4Brexit The majority of us think #brexit is the most ridiculous and dangerous idea to ever be given credence in this country. The majority now want to #StandUp2Brexit. It’s over.,"['brexit', 'standup2brexit']"
3534341,1036612538501345280,1029273979561947136,positive,other,2018-09-03T13:51:03.000Z,"@sarahwollaston @millstepUK I LOVE that women are taking the lead in exposing the stupidity that is #Brexit and standing up to save our great country. Thank you for your honesty, your courage and your dedication, Dr Wollaston. Good luck to us all as we take the bull by the horns and #StandUp2Brexit! https://t.co/oLEBh022Hg","['brexit', 'standup2brexit']"
3557170,1036903985893003264,757144396643049472,neutral,remain,2018-09-04T09:09:09.000Z,"#Brexit is for life, Corbyn isn't

It's time to #StandUp2Brexit #ChuckBrexit  

#PeoplesVote https://t.co/aWZxBwlng8","['brexit', 'standup2brexit', 'chuckbrexit', 'peoplesvote']"
3557169,1036903985893003264,757144396643049472,neutral,remain,2018-09-04T09:09:09.000Z,"#Brexit is for life, Corbyn isn't

It's time to #StandUp2Brexit #ChuckBrexit  

#PeoplesVote https://t.co/aWZxBwlng8","['brexit', 'standup2brexit', 'chuckbrexit', 'peoplesvote']"
2999359,1029607913789292544,1270544544,positive,other,2018-08-15T05:57:10.000Z,"Putin’s funding of Brexit is the best investment he ever made (bribing millionaires buying newspapers data etc) No Deal will be the icing on the cake!  Scotland’s departure from the U.K, the cherry on top ! #StandUp4Brexit #StandUp2Brexit #FBPE #Brexit #DailyMail https://t.co/9sgnkBomgX","['brexit', 'standup2brexit', 'fbpe', 'dailymail', 'standup4brexit']"
2999358,1029607913789292544,1270544544,positive,other,2018-08-15T05:57:10.000Z,"Putin’s funding of Brexit is the best investment he ever made (bribing millionaires buying newspapers data etc) No Deal will be the icing on the cake!  Scotland’s departure from the U.K, the cherry on top ! #StandUp4Brexit #StandUp2Brexit #FBPE #Brexit #DailyMail https://t.co/9sgnkBomgX","['brexit', 'standup2brexit', 'fbpe', 'dailymail', 'standup4brexit']"
3155053,1031805456510070784,141141836,neutral,other,2018-08-21T07:29:25.000Z,"@mikegalsworthy @BBCr4today Meanwhile MPs call for more expenses to deal with their increased workload due to Brexit, blissfully unaware that the rest of us are sacrificing our free time, our savings and even our health to fight #Brexit insanity.

#StandUp2Brexit #FinalSay","['brexit', 'standup2brexit', 'finalsay']"
3168984,1031905566002700288,141141836,negative,remain,2018-08-21T14:07:13.000Z,"Would you buy a #Brexit from Arron Banks?
Fancies himself as a bad boy. Said the £8mn he spent on #Brexit came from the profits of a diamond mine, but the mine has no diamonds, so how is it making a profit? Insurance co. not doing well either. Very bad.
#StandUp2Brexit #FinalSay https://t.co/6RtbqFQglE","['brexit', 'standup2brexit', 'finalsay']"
3168789,1031903539621052416,141141836,negative,other,2018-08-21T13:59:10.000Z,"Would you buy a #Brexit from Liam Fox?
He still says we can make a success of it, despite admitting none of EU's trade deals roll-over to us as Brexiters said, so we go from 759 trade treaties to 0 on Day1, &amp; exporters telling him Brexit is killing them!
#StandUp2Brexit #FinalSay https://t.co/jVF6Qad39j","['brexit', 'standup2brexit', 'finalsay']"
3168185,1031896634626428928,141141836,neutral,remain,2018-08-21T13:31:44.000Z,"Would you buy a #Brexit from Jacob Rees-Mogg?
He dismisses Treasury forecasts as ""soothsaying"", but can't get enough of Minford's overly-optimistic-to-the-point-of-being-irresponsible #Brexit forecasts, even though they're always debunked by the pros!

#StandUp2Brexit #FinalSay https://t.co/VJweRjTjUq","['brexit', 'standup2brexit', 'finalsay']"
3168790,1031903539621052416,141141836,negative,other,2018-08-21T13:59:10.000Z,"Would you buy a #Brexit from Liam Fox?
He still says we can make a success of it, despite admitting none of EU's trade deals roll-over to us as Brexiters said, so we go from 759 trade treaties to 0 on Day1, &amp; exporters telling him Brexit is killing them!
#StandUp2Brexit #FinalSay https://t.co/jVF6Qad39j","['brexit', 'standup2brexit', 'finalsay']"
3155054,1031805456510070784,141141836,neutral,other,2018-08-21T07:29:25.000Z,"@mikegalsworthy @BBCr4today Meanwhile MPs call for more expenses to deal with their increased workload due to Brexit, blissfully unaware that the rest of us are sacrificing our free time, our savings and even our health to fight #Brexit insanity.

#StandUp2Brexit #FinalSay","['brexit', 'standup2brexit', 'finalsay']"
3168983,1031905566002700288,141141836,negative,remain,2018-08-21T14:07:13.000Z,"Would you buy a #Brexit from Arron Banks?
Fancies himself as a bad boy. Said the £8mn he spent on #Brexit came from the profits of a diamond mine, but the mine has no diamonds, so how is it making a profit? Insurance co. not doing well either. Very bad.
#StandUp2Brexit #FinalSay https://t.co/6RtbqFQglE","['brexit', 'standup2brexit', 'finalsay']"
3168184,1031896634626428928,141141836,neutral,remain,2018-08-21T13:31:44.000Z,"Would you buy a #Brexit from Jacob Rees-Mogg?
He dismisses Treasury forecasts as ""soothsaying"", but can't get enough of Minford's overly-optimistic-to-the-point-of-being-irresponsible #Brexit forecasts, even though they're always debunked by the pros!

#StandUp2Brexit #FinalSay https://t.co/VJweRjTjUq","['brexit', 'standup2brexit', 'finalsay']"
3186467,1032102905971650560,141141836,positive,other,2018-08-22T03:11:22.000Z,"@TomTugendhat @Andrew_Adonis TL;DR

The case for a #FinalSay Ref rests on 4 pillars:

1. illegality surrounding original #EUref
2. huge gap between the #Brexit promised &amp; the one we're getting
3. importance of informed consent for suffering #Brexit may inflict
4. it's the right thing to do.

#StandUp2Brexit","['brexit', 'standup2brexit', 'finalsay', 'euref']"
