,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
0,0,0,0,0,0,422304,790532470370340864,746776023262465920,neutral,remain,2016-10-24T12:36:42.000Z,"I thought it was fishy. I thought it was bad.Just makes me realise the left are so sad.
#BrexitForever
#Brexit
#LoveUK https://t.co/UegagLIWF0","['brexitforever', 'loveuk', 'brexit']"
46,46,46,46,46,46,955611,1007221808414756864,974019358900084736,positive,remain,2018-06-14T11:22:47.000Z,@Fishy2007 @alicmurray @CoreyStoughton Tariffs are on the whole considerably lower than 20%. If they want British they will buy British. #Brexit #Brexitforever,"['brexitforever', 'brexit']"
47,47,47,47,47,47,614199,1003044073396109312,974019358900084736,negative,other,2018-06-02T22:41:57.000Z,@michael_bodden @mikegalsworthy @JeanneBartram Dream on. We voted to Leave and we will Leave at 11pm on 29th March 2019. #Brexit #Brexitforever,"['brexitforever', 'brexit']"
48,48,48,48,48,48,1171530,1009822026356445184,974019358900084736,negative,other,2018-06-21T15:35:07.000Z,@EU_Commission You will be punished for your crimes against the nations of Europe. #Brexit #Brexitforever,"['brexitforever', 'brexit']"
49,49,49,49,49,49,614200,1003044073396109312,974019358900084736,negative,other,2018-06-02T22:41:57.000Z,@michael_bodden @mikegalsworthy @JeanneBartram Dream on. We voted to Leave and we will Leave at 11pm on 29th March 2019. #Brexit #Brexitforever,"['brexitforever', 'brexit']"
50,50,50,50,50,50,614212,1003044255386959872,974019358900084736,positive,leave,2018-06-02T22:42:40.000Z,@unicornalpha69 @mikegalsworthy Yes it is #Brexit #Brexitforever,"['brexitforever', 'brexit']"
51,51,51,51,51,51,3717562,1039180596088594432,974019358900084736,positive,other,2018-09-10T15:55:35.000Z,@CarolineFlintMP He’s a raging federalist hoovering up a nice EU Pension. Who cares what he thinks. #Brexit #Brexitforever,"['brexitforever', 'brexit']"
52,52,52,52,52,52,747036,1005058934363828224,974019358900084736,positive,remain,2018-06-08T12:08:17.000Z,@mikegalsworthy Ha ha hardly a ‘brain drain’. Most of that age group spent the next day googling ‘what is the EU?’ Instead of engaging with the issues. And if there are so many opportunities for young People in Europe why are they all over here serving coffee? #Brexit #Brexitforever,"['brexitforever', 'brexit']"
53,53,53,53,53,53,1089464,1008833782424752128,974019358900084736,positive,other,2018-06-18T22:08:11.000Z,@zuluzim909 @ChukaUmunna Can’t wait to be out :) #Brexit #Brexitforever,"['brexitforever', 'brexit']"
54,54,54,54,54,54,636720,1003387361055698944,974019358900084736,neutral,other,2018-06-03T21:26:03.000Z,@scarletharlot69 @LeedsEurope @_Britain4Europe @euromove @peoplesvote_uk @RCorbettMEP @NYorksEurope @StopBrexitMarch @trace462 @Labour4EU The pro Brexit parties obtained 80% of the vote at the 2017 General Election. #Brexit #Brexitforever,"['brexitforever', 'brexit']"
55,55,55,55,55,55,614211,1003044255386959872,974019358900084736,positive,leave,2018-06-02T22:42:40.000Z,@unicornalpha69 @mikegalsworthy Yes it is #Brexit #Brexitforever,"['brexitforever', 'brexit']"
56,56,56,56,56,56,2140676,1019466571956281344,974019358900084736,neutral,other,2018-07-18T06:19:06.000Z,@Anna_Soubry The pro Brexit parties achieved over 80% of the vote in the last General Election! #Brexit #Brexitforever,"['brexitforever', 'brexit']"
57,57,57,57,57,57,955122,1007218596286730240,974019358900084736,neutral,leave,2018-06-14T11:10:01.000Z,@strandedatsea @Haggis_UK You mean no European Federalist Bots taking orders from the EU? I agree #Brexit #Brexitforever,"['brexitforever', 'brexit']"
58,58,58,58,58,58,2136517,1019365829920600064,974019358900084736,negative,other,2018-07-17T23:38:47.000Z,"@thatginamiller @NewStatesman The problem you have, Gina, is that we’ve heard all the doomsday nonsense from Federalists before and it always gets found out and proven wrong. No one will believe your scare stories, so don’t waste your time. #Brexit #Brexitforever","['brexitforever', 'brexit']"
59,59,59,59,59,59,1089463,1008833782424752128,974019358900084736,positive,other,2018-06-18T22:08:11.000Z,@zuluzim909 @ChukaUmunna Can’t wait to be out :) #Brexit #Brexitforever,"['brexitforever', 'brexit']"
60,60,60,60,60,60,747035,1005058934363828224,974019358900084736,positive,remain,2018-06-08T12:08:17.000Z,@mikegalsworthy Ha ha hardly a ‘brain drain’. Most of that age group spent the next day googling ‘what is the EU?’ Instead of engaging with the issues. And if there are so many opportunities for young People in Europe why are they all over here serving coffee? #Brexit #Brexitforever,"['brexitforever', 'brexit']"
61,61,61,61,61,61,958558,1007244229570187264,974019358900084736,negative,remain,2018-06-14T12:51:52.000Z,@moodyoldblue @Haggis_UK It wasn’t flawed at all. Two options and you put a cross next to one. Simples #Brexit #Brexitforever,"['brexitforever', 'brexit']"
62,62,62,62,62,62,636719,1003387361055698944,974019358900084736,neutral,other,2018-06-03T21:26:03.000Z,@scarletharlot69 @LeedsEurope @_Britain4Europe @euromove @peoplesvote_uk @RCorbettMEP @NYorksEurope @StopBrexitMarch @trace462 @Labour4EU The pro Brexit parties obtained 80% of the vote at the 2017 General Election. #Brexit #Brexitforever,"['brexitforever', 'brexit']"
