,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
107,107,107,4844433,1050765763546624000,741611885791969280,negative,other,2018-10-12T15:10:54.000Z,No Deal Brexit plans revealed - all the UK warnings and how they'll hit you https://t.co/VmLaDoqv1n #StopBrexitSaveDemocracy #bbcaq #C4News #Newsnight,"['c4news', 'bbcaq', 'newsnight', 'stopbrexitsavedemocracy']"
108,108,108,4844432,1050765763546624000,741611885791969280,negative,other,2018-10-12T15:10:54.000Z,No Deal Brexit plans revealed - all the UK warnings and how they'll hit you https://t.co/VmLaDoqv1n #StopBrexitSaveDemocracy #bbcaq #C4News #Newsnight,"['c4news', 'bbcaq', 'newsnight', 'stopbrexitsavedemocracy']"
109,109,109,2121291,1019274995548196864,31526366,negative,remain,2018-07-17T17:37:50.000Z,"#Dover-#Calais 'facing economic #catastrophe' due to #Brexit. Cannot stand by and let this #Disaster unfold. #TradeBill #StopBrexitSaveDemocracy #LeaveLiars have crossed the line. #GE2018Now. This #rightwing #Tory coup stinks to high heaven. 
#recess #haha
https://t.co/Jp7rm4N0cL","['catastrophe', 'leaveliars', 'stopbrexitsavedemocracy', 'tory', 'recess', 'disaster', 'brexit', 'haha', 'dover-#calais', 'ge2018now', 'rightwing', 'tradebill']"
110,110,110,2121292,1019274995548196864,31526366,negative,remain,2018-07-17T17:37:50.000Z,"#Dover-#Calais 'facing economic #catastrophe' due to #Brexit. Cannot stand by and let this #Disaster unfold. #TradeBill #StopBrexitSaveDemocracy #LeaveLiars have crossed the line. #GE2018Now. This #rightwing #Tory coup stinks to high heaven. 
#recess #haha
https://t.co/Jp7rm4N0cL","['catastrophe', 'leaveliars', 'stopbrexitsavedemocracy', 'tory', 'recess', 'disaster', 'brexit', 'haha', 'dover-#calais', 'ge2018now', 'rightwing', 'tradebill']"
111,111,111,2088004,1019131348940816384,2837061833,negative,remain,2018-07-17T08:07:02.000Z,"@carolecadwalla @BorisJohnson @michaelgove @theresa_may @mrjamesob  We heard **May threatened** Johnson &amp; Gove with a full government inquiry into their Leave Campaign *unless* they signed up to her #Chequers proposal. 

i.e.  May is fully cognizant, is also complicit.
#StopBrexitSaveDemocracy 
#Brexit #BrexitRussia","['chequers', 'stopbrexitsavedemocracy', 'brexit', 'brexitrussia']"
112,112,112,2088003,1019131348940816384,2837061833,negative,remain,2018-07-17T08:07:02.000Z,"@carolecadwalla @BorisJohnson @michaelgove @theresa_may @mrjamesob  We heard **May threatened** Johnson &amp; Gove with a full government inquiry into their Leave Campaign *unless* they signed up to her #Chequers proposal. 

i.e.  May is fully cognizant, is also complicit.
#StopBrexitSaveDemocracy 
#Brexit #BrexitRussia","['chequers', 'stopbrexitsavedemocracy', 'brexit', 'brexitrussia']"
113,113,113,3112094,1031213841647058944,1242631568,negative,remain,2018-08-19T16:18:33.000Z,Now thats really scary - but a pretty accurate interpretation of The #Corbyn  Line on #Brexit — #NoToNeoStalinism !!!#SocialistSunday #StopBrexitSaveDemocracy https://t.co/MVrkBlmIkb,"['corbyn', 'notoneostalinism', 'stopbrexitsavedemocracy', 'brexit']"
114,114,114,3112093,1031213841647058944,1242631568,negative,remain,2018-08-19T16:18:33.000Z,Now thats really scary - but a pretty accurate interpretation of The #Corbyn  Line on #Brexit — #NoToNeoStalinism !!!#SocialistSunday #StopBrexitSaveDemocracy https://t.co/MVrkBlmIkb,"['corbyn', 'notoneostalinism', 'stopbrexitsavedemocracy', 'brexit']"
115,115,115,4313697,1044834076933468160,281628104,negative,other,2018-09-26T06:20:30.000Z,"A general strike ... yes that's the way to do it NOT

NO, Jeremy Corbyn, Stop Brexit Full STOP 

https://t.co/Kg6XwQ89Ai

#StopBrexitSaveDemocracy 
#Lab18 
#Corbyn","['corbyn', 'stopbrexitsavedemocracy', 'lab18']"
116,116,116,4313696,1044834076933468160,281628104,negative,other,2018-09-26T06:20:30.000Z,"A general strike ... yes that's the way to do it NOT

NO, Jeremy Corbyn, Stop Brexit Full STOP 

https://t.co/Kg6XwQ89Ai

#StopBrexitSaveDemocracy 
#Lab18 
#Corbyn","['corbyn', 'stopbrexitsavedemocracy', 'lab18']"
117,117,117,4790004,1050171197210746880,740521037922734080,positive,other,2018-10-10T23:48:19.000Z,"@MattChorley Most likely - @jeremycorbyn and @UKLabour will deliver a jobs first #Brexit with same benefits as now, but with the U.K. outside of #SingleMarket and #CustomeUnion - Mr Starmer blocked me for asking how that’s possible...but it is I guess...
#StopBrexitSaveDemocracy","['customeunion', 'singlemarket', 'stopbrexitsavedemocracy', 'brexit']"
