,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
1565020,746041664825860096,2440189392,neutral,leave,2016-06-23T18:06:08.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/wdHkz4mW9Q,"['brexit', 'euref', 'voteout', 'ivoted']"
1552335,746028869552082944,18561695,neutral,leave,2016-06-23T17:15:17.000Z,"I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/t2nRS25iqG","['brexit', 'euref', 'voteout', 'ivoted']"
1555731,746009962116153344,3326532509,neutral,leave,2016-06-23T16:00:09.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/OfOvcc39dl,"['brexit', 'euref', 'voteout', 'ivoted']"
1550549,746023506710761472,52804022,neutral,leave,2016-06-23T16:53:59.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/teKSdpJano,"['brexit', 'euref', 'voteout', 'ivoted']"
1589183,746112682672087040,2560528459,neutral,leave,2016-06-23T22:48:20.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/9BQEZYwtRB,"['brexit', 'euref', 'voteout', 'ivoted']"
1562574,746033156797636608,297037329,neutral,leave,2016-06-23T17:32:19.000Z,"I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/2UKmYIHaKR","['brexit', 'euref', 'voteout', 'ivoted']"
1559944,746023557499584512,577412733,neutral,leave,2016-06-23T16:54:11.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/k4EPVSMvxS,"['brexit', 'euref', 'voteout', 'ivoted']"
1550520,745993192638668800,387889518,neutral,leave,2016-06-23T14:53:31.000Z,"I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/WYtodIMbnC","['brexit', 'euref', 'voteout', 'ivoted']"
1545634,745978131488583680,704766822629961728,neutral,leave,2016-06-23T13:53:40.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/qG8jS1qcW3,"['brexit', 'euref', 'voteout', 'ivoted']"
1550023,745991512828284928,3900930622,neutral,leave,2016-06-23T14:46:51.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/AnElXgH4kL,"['brexit', 'euref', 'voteout', 'ivoted']"
1659263,746213131861401600,4009877841,neutral,leave,2016-06-24T05:27:29.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/9ueiSQEvSB,"['brexit', 'euref', 'voteout', 'ivoted']"
1550145,745991888142999552,409084798,neutral,leave,2016-06-23T14:48:20.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/gZ07VKKZE0,"['brexit', 'euref', 'voteout', 'ivoted']"
1542608,745968421905510400,1367921624,neutral,leave,2016-06-23T13:15:05.000Z,"I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/Yisgqf19uS","['brexit', 'euref', 'voteout', 'ivoted']"
1559014,746020234545532928,114051545,neutral,leave,2016-06-23T16:40:58.000Z,"I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/opAXI9zyz1","['brexit', 'euref', 'voteout', 'ivoted']"
1557884,746016797132988416,428397032,neutral,leave,2016-06-23T16:27:19.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/jIosHTlTgP,"['brexit', 'euref', 'voteout', 'ivoted']"
1555105,746007762828689408,1160944632,neutral,leave,2016-06-23T15:51:25.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/WiJ3fswFHd,"['brexit', 'euref', 'voteout', 'ivoted']"
1892416,746297259638267904,705458490471538688,neutral,leave,2016-06-24T11:01:46.000Z,"I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/gvviT947Wf","['brexit', 'euref', 'voteout', 'ivoted']"
1569121,746056251260420096,879949795,neutral,leave,2016-06-23T19:04:06.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/L6rhJyNmIe,"['brexit', 'euref', 'voteout', 'ivoted']"
1558018,746017203984674816,1660592202,neutral,leave,2016-06-23T16:28:56.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/fdlwE2ppK2,"['brexit', 'euref', 'voteout', 'ivoted']"
1542998,745999961591058432,3049473712,neutral,leave,2016-06-23T15:20:25.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/j21v6IvA6F,"['brexit', 'euref', 'voteout', 'ivoted']"
1558015,746017195218640896,3000181983,neutral,leave,2016-06-23T16:28:54.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/neaKkjBjid,"['brexit', 'euref', 'voteout', 'ivoted']"
1536906,745982107344834560,317062048,neutral,leave,2016-06-23T14:09:28.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/kOuaKb5281,"['brexit', 'euref', 'voteout', 'ivoted']"
1562947,746034521691328512,151670826,neutral,leave,2016-06-23T17:37:45.000Z,"I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/qaysqEtMmd","['brexit', 'euref', 'voteout', 'ivoted']"
1559012,746020220041592832,268422128,neutral,leave,2016-06-23T16:40:55.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/HRShe2ECuX,"['brexit', 'euref', 'voteout', 'ivoted']"
2196224,746407497821487104,1354670575,neutral,leave,2016-06-24T18:19:49.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/yha95ntkkq,"['brexit', 'euref', 'voteout', 'ivoted']"
1860028,746255138365579264,142202383,neutral,leave,2016-06-24T08:14:24.000Z,"I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/QGjo8duVmE","['brexit', 'euref', 'voteout', 'ivoted']"
1563513,746036502942126080,297962260,neutral,leave,2016-06-23T17:45:37.000Z,"I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/3WHJsVLSjj","['brexit', 'euref', 'voteout', 'ivoted']"
1561760,746030033991536640,964309106,neutral,leave,2016-06-23T17:19:55.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/phJeFB8HlF,"['brexit', 'euref', 'voteout', 'ivoted']"
1571549,746063097694126080,4689444098,neutral,leave,2016-06-23T19:31:18.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/IqvqmgOFJh,"['brexit', 'euref', 'voteout', 'ivoted']"
1563881,746037847359107072,2762716731,neutral,leave,2016-06-23T17:50:58.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/knY7WarpfM,"['brexit', 'euref', 'voteout', 'ivoted']"
1574231,746071287840251904,3159541089,neutral,leave,2016-06-23T20:03:51.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/fZhItOBpeP,"['brexit', 'euref', 'voteout', 'ivoted']"
1744409,746246140350316544,1031258478,neutral,leave,2016-06-24T07:38:39.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/smJU9zWG7y,"['brexit', 'euref', 'voteout', 'ivoted']"
1545562,745977934683512832,282630519,neutral,leave,2016-06-23T13:52:53.000Z,"I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted
https://t.co/qtImu8cyYe","['brexit', 'euref', 'voteout', 'ivoted']"
1576218,746077737027252224,3927888987,neutral,leave,2016-06-23T20:29:28.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/iVDt8UhX3J,"['brexit', 'euref', 'voteout', 'ivoted']"
1555749,746010002700242944,17996917,neutral,leave,2016-06-23T16:00:19.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/QpBNoySdt0,"['brexit', 'euref', 'voteout', 'ivoted']"
1542700,745968712918966272,3163700293,neutral,leave,2016-06-23T13:16:15.000Z,"https://t.co/OoxjxhKiqu
I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted","['brexit', 'euref', 'voteout', 'ivoted']"
1596392,746125103407206400,580279147,neutral,leave,2016-06-23T23:37:41.000Z,I #VoteOut for the #Brexit #EURef vote with @Brndstr &amp; unlocked my own Flag Profile pic! What will you vote? #ivoted https://t.co/v89zg6x5lF,"['brexit', 'euref', 'voteout', 'ivoted']"
