,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
148,148,148,2068954,1018969361489518592,3432562233,negative,remain,2018-07-16T21:23:21.000Z,"@aljwhite @chunkymark #ToriesInTurmoil hope they rip themselves apart! But @Anna_Soubry is right about #Brexit! Understating it really, millions will be worse off! #ToriesOut #ToryBrexitShambles #StopBrexit #BrexitWhitePaper #ToryRacism #PCPEU https://t.co/ktl3oRXIoL","['toriesout', 'torybrexitshambles', 'pcpeu', 'toriesinturmoil', 'brexitwhitepaper', 'brexit', 'toryracism', 'stopbrexit']"
149,149,149,2105569,1019193367832301568,29019501,neutral,remain,2018-07-17T12:13:29.000Z,@StrongerStabler @jedclef All #ReesMogg and his cronies care about is their Brexit windfall. They are stupid beyond belief. #Brexit #GE2018Now #StopMayRunningAway #JC4PM #ToryBrexitShambles #ToriesOut,"['toriesout', 'torybrexitshambles', 'reesmogg', 'stopmayrunningaway', 'jc4pm', 'ge2018now', 'brexit']"
150,150,150,2105568,1019193367832301568,29019501,neutral,remain,2018-07-17T12:13:29.000Z,@StrongerStabler @jedclef All #ReesMogg and his cronies care about is their Brexit windfall. They are stupid beyond belief. #Brexit #GE2018Now #StopMayRunningAway #JC4PM #ToryBrexitShambles #ToriesOut,"['toriesout', 'torybrexitshambles', 'reesmogg', 'stopmayrunningaway', 'jc4pm', 'ge2018now', 'brexit']"
151,151,151,1705949,1015859250806091776,384533439,positive,remain,2018-07-08T07:24:53.000Z,"Ha ha ha Boris Johnson is gutless, useless &amp; pointless .....
 
#BorisJohnson brands Theresa May's Brexit plan a big 'turd'..... Then agrees to it
https://t.co/XMurZUxhbk - #Brexit #ToryBrexitShambles Get #TheresaMay &amp; all the #ToriesOut","['toriesout', 'torybrexitshambles', 'theresamay', 'borisjohnson', 'brexit']"
152,152,152,1705948,1015859250806091776,384533439,positive,remain,2018-07-08T07:24:53.000Z,"Ha ha ha Boris Johnson is gutless, useless &amp; pointless .....
 
#BorisJohnson brands Theresa May's Brexit plan a big 'turd'..... Then agrees to it
https://t.co/XMurZUxhbk - #Brexit #ToryBrexitShambles Get #TheresaMay &amp; all the #ToriesOut","['toriesout', 'torybrexitshambles', 'theresamay', 'borisjohnson', 'brexit']"
153,153,153,4135794,1043369880551075840,760456200127406080,negative,remain,2018-09-22T05:22:19.000Z,Can somebody? Anybody! STOP THIS BLOODY WOMAN NOW!!!! #deranged #outofcontrol #tinpotBrexit #Brexit #StopBrexit #ToryBrexitShambles #ToriesOut https://t.co/LYfa7sy2KQ,"['toriesout', 'torybrexitshambles', 'tinpotbrexit', 'deranged', 'outofcontrol', 'brexit', 'stopbrexit']"
154,154,154,4135795,1043369880551075840,760456200127406080,negative,remain,2018-09-22T05:22:19.000Z,Can somebody? Anybody! STOP THIS BLOODY WOMAN NOW!!!! #deranged #outofcontrol #tinpotBrexit #Brexit #StopBrexit #ToryBrexitShambles #ToriesOut https://t.co/LYfa7sy2KQ,"['toriesout', 'torybrexitshambles', 'tinpotbrexit', 'deranged', 'outofcontrol', 'brexit', 'stopbrexit']"
155,155,155,4426451,1045944422708498432,3883364079,positive,other,2018-09-29T07:52:37.000Z,"@LordCFalconer There is some disunity in the LP about Brexit, but they don’t carry the absurd amount of baggage that the Tories do - they have reach the point where, due to their infighting, it is now impossible for them to agree on anything. #ToryBrexitShambles",['torybrexitshambles']
156,156,156,312132,997481104847310848,2225633047,negative,remain,2018-05-18T14:16:42.000Z,@Anna_Soubry @jeremycorbyn Oh no you don't...#Brexit is a 100% TORY mess. And your @Conservatives chums will NEVER wriggle off that hook. #TORYBrexitShambles,['torybrexitshambles']
157,157,157,3234277,1032607051636195328,199656629,neutral,leave,2018-08-23T12:34:40.000Z,"Cost of card payments 'to go up' under 'no-deal' Brexit
#ToryBrexitShambles  https://t.co/RE0iyftOHn",['torybrexitshambles']
